"flashcard_id","english_text","category","native_text","flagged"
"08fe66de-d99e-0fb0-3f8c-ca2440aa5a98","1","numbers","一","false"
"cc0c8a19-54c8-94aa-0a1f-11613a0649a9","10","numbers","十","false"
"98da8343-762c-e5c6-9e7f-26e28b364dee","100","numbers","一百","false"
"7ba14dee-0c98-7a9c-bd65-e5e3a14f5754","11","numbers","十一","false"
"f16b8560-7c8e-3a10-a418-f6507bf47d10","12","numbers","十二","false"
"301f6ccc-8067-eda5-7638-0f7dccc9ee06","13","numbers","十三","false"
"7b5dbf46-d3c9-73cb-58a9-2a588897c925","14","numbers","十四","false"
"1f81fc8c-99f0-6221-f6bb-7ec4e631d701","15","numbers","十五","false"
"a1c4cb6d-8f93-873c-1dd4-ac32e5a5e10c","16","numbers","十六","false"
"6140d374-15a1-d4f2-ba1b-d21e3a9195e7","17","numbers","十七","false"
"7730cb25-7b12-4fdd-6e9e-0701979cff5d","18","numbers","十八","false"
"bf59393a-8fb0-54e8-ade0-25e513442248","19","numbers","十九","false"
"76806ad5-6c9e-1f52-5d69-798910f84c78","2","numbers","二","false"
"998c5ed7-28d7-67a2-fc02-f4aa3b301dfc","20","numbers","二十","false"
"4431eda3-4d87-ce92-bba9-947b3c7c9c6b","21","numbers","二十一","false"
"472a0c5c-a3b1-ab71-d4f0-c4662febe18c","22","numbers","二十二","false"
"c65676fa-abde-8141-60b6-64b9e68d6801","23","numbers","二十三","false"
"511f1a83-a5cb-3492-53fc-54aad834e0b0","24","numbers","二十四","false"
"5dbb5c18-3037-aa8f-a6ad-86c3529efbf7","25","numbers","二十五","false"
"1f58dd07-b531-9cd1-f425-dffc98f4d91d","26","numbers","二十六","false"
"10c72075-db73-902b-578e-1cbd2d24ca35","27","numbers","二十七","false"
"9220a9d4-1fd3-f6f7-9609-abd98e99749a","28","numbers","二十八","false"
"d7ba1c30-4763-b01d-b89d-ac3ac33e19a6","29","numbers","二十九","false"
"17056c5f-e3f6-04a5-877d-7ff2e72a927f","3","numbers","三","false"
"4cf2f241-abe2-b14c-bd41-56efd7a90a50","30","numbers","三十","false"
"4047be94-f2f2-a259-507a-8953e8d49a77","31","numbers","三十一","false"
"3df4603e-8da9-4cb8-3b8d-b0058af6d0a2","32","numbers","三十二","false"
"f0981ddc-e227-0fe5-1a79-4250f929eca0","33","numbers","三十三","false"
"bb0bdf02-f91d-91a1-2dd1-57cada494550","34","numbers","三十四","false"
"b8428fbe-0b67-10b3-7f7a-b855b8d83b3d","35","numbers","三十五","false"
"a984d55d-6381-29b9-18cb-bc25677603be","36","numbers","三十六","false"
"14331a5b-03be-f6fa-c92b-cee5416402b9","37","numbers","三十七","false"
"6086355f-65d3-e2ff-c3db-1b41d30c76a4","38","numbers","三十八","false"
"745d90e0-4a6d-c1da-ccc1-b6fa4584bab9","39","numbers","三十九","false"
"2f018948-2e71-010b-ce9e-b7a7914d0387","4","numbers","四","false"
"dd7f0bea-8265-3eb6-d017-66c4a2ea5b7f","40","numbers","四十","false"
"5b2060b2-389d-6203-eca4-fcb97ff2105a","41","numbers","四十一","false"
"b8c2bc12-3a1b-8efa-f43f-f5fc0761cd56","42","numbers","四十二","false"
"957853b5-0547-8742-8de2-377b1d218a38","43","numbers","四十三","false"
"79c40bea-5b6c-8b05-f2b6-90d82b9d6033","44","numbers","四十四","false"
"caa22f65-4836-1f33-bdce-a8d1158d6f9b","45","numbers","四十五","false"
"e539fac4-79f7-7287-3f08-142b91814094","46","numbers","四十六","false"
"176ce1aa-cd88-3ea3-783a-2588d184c914","47","numbers","四十七","false"
"fe82dbb2-ab3b-0c24-2593-71d6c7e8a261","48","numbers","四十八","false"
"7844251a-a235-aee7-a497-518a1aa615ea","49","numbers","四十九","false"
"5a221a87-9160-7bda-41f8-18fce56377c3","5","numbers","五","false"
"5ac05be6-8571-250a-963f-713114e1b550","50","numbers","五十","false"
"07f81c54-321e-5c3f-a41e-58aa0e99e7a8","51","numbers","五十一","false"
"ffbd2298-b75b-99bd-03b3-b36c130d81f2","52","numbers","五十二","false"
"88afcc21-b514-4f40-7e9d-d6d97d98740e","53","numbers","五十三","false"
"d364d535-62e9-ca58-813c-dfaa141c2e41","54","numbers","五十四","false"
"1bc69802-b448-91f9-7e57-4c01ae65c9d4","55","numbers","五十五","false"
"e607f2fd-d61c-8395-b4c1-6e70bd92a4eb","56","numbers","五十六","false"
"f162cc23-482d-9f31-cf62-64f85b19080b","57","numbers","五十七","false"
"698324ca-fa69-bdf7-80b1-6e69a3bb030e","58","numbers","五十八","false"
"3ec1605a-aaaf-3ee3-4fd3-ed6ac8ed6194","59","numbers","五十九","false"
"f4330f4d-8bda-50a8-a018-1a81570791ab","6","numbers","六","false"
"3bca6edd-bd50-e264-a68e-89853d9c64b4","60","numbers","六十","false"
"f18c295c-f100-84cd-41af-57d00a751f4e","61","numbers","六十一","false"
"50170841-915d-b292-7288-f3ac56dbffc3","62","numbers","六十二","false"
"2f4243c0-bf2d-9345-0cf1-71335b1726d0","63","numbers","六十三","false"
"5cde7344-5aee-cfde-5ccb-efbdb6555c7d","64","numbers","六十四","false"
"6e5817c6-6e82-a147-96b2-202616ca61ce","65","numbers","六十五","false"
"2ad7cb21-3071-fa33-e203-fbbadbef3d5c","66","numbers","六十六","false"
"d1b3f5a7-afc8-0a2e-0ac2-b044a9b5c5a9","67","numbers","六十七","false"
"1fac61e8-7784-48cf-0f54-9ceb02a9e801","68","numbers","六十八","false"
"de2b8dab-854d-d600-8d1a-ebb80b94badf","69","numbers","六十九","false"
"c17ce59b-8268-025b-0a5b-5433e62b2656","7","numbers","七","false"
"9d6dce89-d2ad-1831-26bd-3de8af425c89","70","numbers","七十","false"
"786d76d8-8d21-3976-07d4-6bf87327bc4b","71","numbers","七十一","false"
"4eb44a16-081e-402e-75ad-d57326a1d654","72","numbers","七十二","false"
"ec44c877-da5b-939d-ec25-25a688bad191","73","numbers","七十三","false"
"7a7b9ada-a065-5dff-21ae-58edee913b7c","74","numbers","七十四","false"
"ce63ebb5-f2b3-7fb9-5e9d-8d6c5a9d9fe3","75","numbers","七十五","false"
"7fa79147-1bcf-d81d-fefb-339e87f8ce8e","76","numbers","七十六","false"
"f28fc6cc-d202-b1fe-89cf-1db4759d734d","77","numbers","七十七","false"
"c6ceb4ed-e278-81c1-2c82-315b835ad8c7","78","numbers","七十八","false"
"9b943441-cdf0-d5ba-a734-f09e84fd1524","79","numbers","七十九","false"
"b12af70f-0ad2-87e2-064e-68ff43841d1d","8","numbers","八","false"
"3601eb6d-385a-4a2b-bae0-ef7dbe15a016","80","numbers","八十","false"
"19f97cac-96c7-fd4b-4941-b89621296496","81","numbers","八十一","false"
"de50eebd-7439-9daf-e974-9d3b3b1b1906","82","numbers","八十二","false"
"5c206e83-c6ca-766e-4cd8-b8f6e66555b3","83","numbers","八十三","false"
"77bbd3a0-e8ae-937a-88d8-6176ccdb7ef6","84","numbers","八十四","false"
"34158c6a-fcae-e5f5-83df-e65ba53f88ab","85","numbers","八十五","false"
"260605f4-d195-ed41-5705-8ebdcc345383","86","numbers","八十六","false"
"29523d8e-313d-c906-4428-331fadcd9033","87","numbers","八十七","false"
"7f833629-327a-e263-bc8a-6c92171598e5","88","numbers","八十八","false"
"bac90707-62d2-e64d-0ca4-c6e30cab51b9","89","numbers","八十九","false"
"a22a1a91-c2cb-4648-4c1f-7d525e78c580","9","numbers","九","false"
"8d57f874-59ab-985f-eb33-f03b253615b6","90","numbers","九十","false"
"fc009403-e8aa-3f07-5a92-8c6da2ca86c2","91","numbers","九十一","false"
"20c84a9a-c9e4-86fd-88da-bf32089babe8","92","numbers","九十二","false"
"11f55d72-2758-0965-502e-610e00418dc3","93","numbers","九十三","false"
"b8b38189-6db9-48ab-0116-1f5345eed052","94","numbers","九十四","false"
"e24b3216-0ab3-83e9-bb59-aa917863f86b","95","numbers","九十五","false"
"3e3b5ae6-9908-96d1-a268-dbb4732fbb74","96","numbers","九十六","false"
"09e3e8e5-016d-3f96-3aa1-551f984f5385","97","numbers","九十七","false"
"2a55cb1f-7e3f-c52e-5ef0-144f8049d9d6","98","numbers","九十八","false"
"1814aa74-adcc-cfe9-ae61-3b7deb25c19b","99","numbers","九十九","false"
"a1ba9951-c5e8-9049-b587-88a8faf1d06f","Afternoon","time","下午","false"
"19351d6f-b369-43d1-be22-00a666b2b3d5","Afternoon","daily_life","下午","false"
"a2781012-b7e4-fab9-7007-dd2ecadd5221","Air conditioning","accommodation","空调","false"
"24bbe3ae-4e59-04ac-afaa-ab7422265930","Airport","transport","机场","false"
"a4d22c63-a015-df08-fb78-3108d5500c40","Allergy","emergency","过敏","false"
"ee0ead9b-369f-c7c8-30ba-6ba38a54240a","Ambulance","emergency","救护车","false"
"c4da8746-5a17-551c-cdfb-ab52146ce46f","Apple","fruit","苹果","false"
"1a6fefc7-76b1-7b24-04ed-f197ff1e1056","Apple","food","苹果","false"
"aa858b8f-2ad4-b4b0-2a12-d6d879a016e1","Appointment","time","预约","false"
"1ebbe788-8ef5-9c9b-2076-c3efa854f83a","Banana","food","香蕉","false"
"33ff866e-bdfe-c95e-6892-02a9df61eab7","Banana","fruit","香蕉","false"
"56e90058-c562-6adb-b119-5e4bddc08d48","Bathroom","accommodation","浴室","false"
"1d3279c6-7076-a5a6-252f-92dbea435043","Bed","accommodation","床","false"
"c20e2e1f-0a2c-b413-a3af-917e43e7d018","Beef","food","牛肉","false"
"391a6ac3-0fe7-ca44-c0ee-19ef67f334d2","Beer","drinks","啤酒","false"
"55c5c92c-d666-c3cb-20bc-d8e5ef341ec3","Bell pepper","vegetable","甜椒","false"
"91dfc1f1-e27c-c054-8882-43a873a8a441","Bill","shopping","账单","false"
"bd7e9022-42b7-9b2f-c32e-d283f4eeef61","Blueberry","fruit","蓝莓","false"
"46ca81ef-447b-1cec-058f-50b9df608539","Booking","accommodation","预订","false"
"81e3d24b-b30e-2e08-2cc2-c62c43f560c7","Boss","work","老板","false"
"0d507e5c-0c44-be73-6cb1-c1ca54f95e68","Bowl","tableware","碗","false"
"130decc7-c7fd-72f9-a904-b708cda04bee","Boyfriend","social","男朋友","false"
"75eb3455-83ad-f6f7-a5d5-06aa508e06ad","Bread","food","面包","false"
"585f3e87-977b-b52e-4b9c-38f65f3b2034","Broccoli","food","西兰花","false"
"5b522de9-adad-0bde-08ab-9d620e359f36","Broccoli","vegetable","西兰花","false"
"77322dab-b45c-0adc-fc9c-889e914571e4","Bus","transport","公共汽车","false"
"35e1de0c-f1ae-3209-6995-e022210f3ff1","Butter","food","黄油","false"
"fc56efe9-266c-2cb9-cfa5-c7ea3eab685e","Buy","shopping","买","false"
"f5e3e35a-e0e7-7603-c3f4-2f064c7a07c6","Cabbage","vegetable","卷心菜","false"
"aae99770-a6d0-9061-5b4c-8b3f16479f5c","Call","social","打电话","false"
"29ed3d27-ad64-d8fa-d85f-2481c3090589","Call","emergency","打电话","false"
"1720e3df-3084-d564-4c80-c911de527e26","Call a doctor","emergency","叫医生","false"
"ef26a5d2-ff21-bed8-b560-ac41d2e49bd1","Call the police","emergency","报警","false"
"2475350a-7e80-5a10-1c8f-13417e345e39","Can I have the menu?","restaurant","请给我看一下菜单","false"
"a4992579-98f6-0b24-1979-0a1bd75bb664","Can you help me?","requesting help","你能帮助我吗？","false"
"8021074f-67a5-2b6f-45d1-e8edbaacb715","Card","shopping","卡","false"
"ba77a1ae-43e5-c07d-dfd9-b2d7206e8fb4","Carrot","vegetable","胡萝卜","false"
"5eadac83-58eb-1c64-b373-6afa1caf1d2f","Cash","shopping","现金","false"
"95a4e1db-f38c-7a94-a989-70510edbf107","Change","shopping","零钱","false"
"a16823f0-ed3a-b245-5be7-4d48cf2bb6f1","Cheap","shopping","便宜","false"
"23c593eb-ed5e-0234-1e67-c247e3b3091f","Check-in","accommodation","入住","false"
"30e682d4-8255-95b8-80ff-47cba77ef4f3","Check-out","accommodation","退房","false"
"ef3d0769-13b5-6852-66e2-62c5c3ba67f5","Cherry","fruit","樱桃","false"
"5301aa82-68b4-e38c-b13d-e1e82e2512fd","Chicken","food","鸡肉","false"
"fe443e07-749b-2350-eeaa-3e6d5d38477f","Chili pepper","vegetable","辣椒","false"
"75e0d11e-e8c0-52d5-a9d4-df08aabbb9c2","Chopsticks","tableware","筷子","false"
"ae0d14c9-45bf-72ea-0efe-761713702ef6","Client","work","客户","false"
"b2030b8e-7360-44c2-a234-189b9e7beba5","Clinic","emergency","诊所","false"
"21ba6379-a6d4-62ce-43c5-f8c4185ff491","Clock","time","钟","false"
"5fa8f070-8ceb-d13d-5437-64e3aaca379c","Clothes","daily_life","衣服","false"
"6f43d054-87ae-196d-9b16-2e02a86ba92e","Coconut","fruit","椰子","false"
"6e71ab6a-0f73-ce2c-70a0-c0ef74facd67","Coffee","drinks","咖啡","false"
"bb3cfb06-d8e8-21e1-7c68-0b2b832fd858","Coin","shopping","硬币","false"
"0e45ba25-89c6-fea0-413a-05b231bc2bcc","Company","work","公司","false"
"105858f9-774b-6baa-3dde-0d7f8757335a","Contract","work","合同","false"
"33a08a26-64da-b14a-5bf4-e8b9f2e976f5","Conversation","social","对话","false"
"323090a3-e3d9-90ff-cd29-97e341828ddb","Corn","vegetable","玉米","false"
"d4fdf1f0-4bab-ccb6-2dfe-e2d2a8b43589","Cost","shopping","费用","false"
"15b7bf0e-91f1-1284-dcfb-d2a988705c6d","Cucumber","vegetable","黄瓜","false"
"7cae74ac-2ea6-5a2c-da63-d6865eb99c6b","Cup","tableware","杯子","false"
"575f7c74-500c-a568-ae77-b3b491919487","Dance","social","跳舞","false"
"ab784f50-d1ab-87a0-0654-736fcd6f9524","Danger","emergency","危险","false"
"b8066faf-8ac9-1b19-19d5-26f2445bfcca","Date","time","日期","false"
"c5952d0e-7984-5447-ed20-b3ba567223fc","Date","social","约会","false"
"be3523b5-fd15-f760-6bb2-f88994ac9452","Day","daily_life","天","false"
